Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°6
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 1.380	 0.26	 0.61	 3.50	 9.63	 263.30	 8.39	 289.70	
-170	 1.380	 0.45	 0.61	 3.49	 9.67	 263.02	 8.34	 289.04	
-160	 1.380	 0.63	 0.61	 3.48	 9.71	 262.66	 8.23	 288.67	
-150	 1.380	 0.80	 0.60	 3.47	 9.67	 262.43	 8.16	 289.05	
-140	 1.380	 0.97	 0.60	 3.44	 9.62	 262.10	 8.13	 289.22	
-130	 1.380	 1.13	 0.61	 3.43	 9.55	 261.57	 8.06	 289.73	
-120	 1.380	 1.28	 0.60	 3.42	 9.49	 260.85	 8.00	 290.29	
-110	 1.380	 1.42	 0.60	 3.40	 9.44	 260.48	 7.88	 290.77	
-100	 1.380	 1.55	 0.59	 3.38	 9.38	 260.25	 7.84	 290.94	
-90	 1.380	 1.67	 0.60	 3.36	 9.37	 259.62	 7.84	 290.52	
-80	 1.380	 1.78	 0.60	 3.34	 9.39	 259.15	 7.85	 289.48	
-70	 1.380	 1.88	 0.60	 3.33	 9.42	 259.41	 7.84	 287.87	
-60	 1.380	 1.96	 0.60	 3.31	 9.50	 259.56	 7.86	 286.47	
-50	 1.380	 2.03	 0.60	 3.29	 9.58	 259.24	 7.89	 285.52	
-40	 1.380	 2.10	 0.60	 3.28	 9.61	 258.70	 7.93	 283.97	
-30	 1.380	 2.15	 0.60	 3.26	 9.66	 258.05	 7.94	 281.93	
-20	 1.380	 2.18	 0.60	 3.24	 9.68	 257.17	 7.98	 279.02	
-10	 1.380	 2.20	 0.60	 3.23	 9.71	 255.97	 8.04	 276.10	
  0	 1.380	 2.21	 0.60	 3.22	 9.71	 255.23	 8.09	 273.46	
 10	 1.380	 2.20	 0.59	 3.21	 9.70	 254.71	 8.16	 270.40	
 20	 1.380	 2.18	 0.60	 3.19	 9.75	 254.61	 8.21	 267.64	
 30	 1.380	 2.15	 0.60	 3.18	 9.75	 254.27	 8.30	 265.13	
 40	 1.380	 2.11	 0.60	 3.17	 9.76	 254.10	 8.38	 263.12	
 50	 1.380	 2.04	 0.59	 3.16	 9.70	 254.00	 8.43	 260.79	
 60	 1.380	 1.97	 0.59	 3.15	 9.63	 253.70	 8.48	 258.75	
 70	 1.380	 1.88	 0.59	 3.13	 9.53	 253.58	 8.50	 257.48	
 80	 1.380	 1.78	 0.59	 3.13	 9.44	 253.37	 8.51	 256.56	
 90	 1.380	 1.66	 0.59	 3.11	 9.41	 254.18	 8.51	 255.69	
100	 1.380	 1.53	 0.58	 3.10	 9.40	 254.93	 8.50	 254.91	
110	 1.380	 1.40	 0.58	 3.09	 9.42	 255.89	 8.48	 253.91	
120	 1.380	 1.24	 0.58	 3.08	 9.47	 256.79	 8.44	 253.04	
130	 1.380	 1.08	 0.58	 3.08	 9.52	 257.91	 8.40	 251.95	
140	 1.380	 0.91	 0.58	 3.07	 9.52	 258.80	 8.41	 250.46	
150	 1.380	 0.73	 0.57	 3.06	 9.48	 259.21	 8.45	 249.12	
160	 1.380	 0.53	 0.57	 3.06	 9.44	 259.72	 8.57	 248.12	
170	 1.380	 0.34	 0.58	 3.04	 9.43	 260.54	 8.70	 248.35	
180	 1.380	 0.14	 0.58	 3.03	 9.36	 261.65	 8.81	 247.26	
