Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°101
Type of Scenario: real past forcing event (from the damage database of Idier et al. (2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]) 
High Tide date (UTC): 2009-02-10T04:00:00 
Data source: Hydro-Meteorological database (1900-2016) built by Idier et al.(2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]. 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.518	 0.28	 0.24	 6.62	 13.33	 247.00	 17.71	 298.50	
-170	 0.518	 0.47	 0.23	 6.59	 13.33	 247.00	 17.50	 298.06	
-160	 0.518	 0.65	 0.22	 6.55	 13.33	 247.00	 17.30	 297.62	
-150	 0.518	 0.83	 0.21	 6.51	 13.33	 247.00	 17.09	 297.18	
-140	 0.518	 1.00	 0.20	 6.48	 13.33	 247.00	 16.89	 296.75	
-130	 0.518	 1.17	 0.20	 6.44	 13.33	 247.00	 16.69	 296.31	
-120	 0.518	 1.33	 0.19	 6.40	 13.33	 247.00	 16.48	 295.87	
-110	 0.518	 1.48	 0.19	 6.37	 13.33	 247.17	 16.22	 296.19	
-100	 0.518	 1.62	 0.18	 6.33	 13.33	 247.33	 15.96	 296.51	
-90	 0.518	 1.75	 0.18	 6.29	 13.33	 247.50	 15.70	 296.83	
-80	 0.518	 1.87	 0.19	 6.25	 13.33	 247.67	 15.43	 297.15	
-70	 0.518	 1.98	 0.19	 6.22	 13.33	 247.83	 15.17	 297.47	
-60	 0.518	 2.07	 0.18	 6.18	 13.33	 248.00	 14.91	 297.79	
-50	 0.518	 2.16	 0.16	 6.14	 13.30	 248.00	 14.65	 298.09	
-40	 0.518	 2.23	 0.14	 6.10	 13.27	 248.00	 14.39	 298.39	
-30	 0.518	 2.30	 0.12	 6.06	 13.25	 248.00	 14.14	 298.69	
-20	 0.518	 2.34	 0.11	 6.01	 13.22	 248.00	 13.88	 298.99	
-10	 0.518	 2.38	 0.09	 5.97	 13.19	 248.00	 13.62	 299.29	
  0	 0.518	 2.40	 0.07	 5.93	 13.16	 248.00	 13.36	 299.60	
 10	 0.518	 2.41	 0.06	 5.89	 13.16	 248.17	 13.15	 299.87	
 20	 0.518	 2.40	 0.04	 5.84	 13.16	 248.33	 12.94	 300.15	
 30	 0.518	 2.38	 0.01	 5.79	 13.16	 248.50	 12.73	 300.42	
 40	 0.518	 2.34	 -0.02	 5.75	 13.16	 248.67	 12.53	 300.70	
 50	 0.518	 2.29	 -0.05	 5.70	 13.16	 248.83	 12.32	 300.97	
 60	 0.518	 2.22	 -0.09	 5.66	 13.16	 249.00	 12.11	 301.25	
 70	 0.518	 2.14	 -0.11	 5.61	 13.16	 249.17	 11.96	 301.10	
 80	 0.518	 2.04	 -0.13	 5.56	 13.16	 249.33	 11.81	 300.96	
 90	 0.518	 1.92	 -0.13	 5.51	 13.16	 249.50	 11.67	 300.81	
100	 0.518	 1.79	 -0.13	 5.46	 13.16	 249.67	 11.52	 300.67	
110	 0.518	 1.65	 -0.13	 5.41	 13.16	 249.83	 11.38	 300.52	
120	 0.518	 1.49	 -0.14	 5.36	 13.16	 250.00	 11.23	 300.38	
130	 0.518	 1.33	 -0.14	 5.32	 13.13	 250.33	 11.12	 300.36	
140	 0.518	 1.15	 -0.14	 5.27	 13.10	 250.67	 11.01	 300.33	
150	 0.518	 0.96	 -0.13	 5.22	 13.07	 251.00	 10.91	 300.31	
160	 0.518	 0.76	 -0.12	 5.18	 13.04	 251.33	 10.80	 300.29	
170	 0.518	 0.55	 -0.11	 5.13	 13.02	 251.67	 10.69	 300.27	
180	 0.518	 0.33	 -0.10	 5.08	 12.99	 252.00	 10.58	 300.25	
