Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°133
Type of Scenario: variation around a real past forcing event (High Tide date (UTC): 1924-01-09T05:30:00; scenario n°95) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.700	 0.27	 0.14	 1.32	 12.83	 263.35	 8.06	 54.73	
-170	 0.700	 0.47	 0.14	 1.32	 12.82	 263.37	 8.09	 54.77	
-160	 0.700	 0.67	 0.14	 1.32	 12.82	 263.38	 8.12	 54.82	
-150	 0.700	 0.87	 0.14	 1.32	 12.82	 263.39	 8.15	 54.87	
-140	 0.700	 1.06	 0.15	 1.32	 12.81	 263.40	 8.17	 54.92	
-130	 0.700	 1.24	 0.15	 1.32	 12.81	 263.41	 8.20	 54.97	
-120	 0.700	 1.41	 0.15	 1.32	 12.81	 263.43	 8.23	 55.02	
-110	 0.700	 1.58	 0.15	 1.32	 12.80	 263.44	 8.26	 55.07	
-100	 0.700	 1.73	 0.15	 1.32	 12.80	 263.45	 8.29	 55.12	
-90	 0.700	 1.87	 0.15	 1.32	 12.80	 263.46	 8.31	 55.17	
-80	 0.700	 1.99	 0.15	 1.32	 12.79	 263.47	 8.34	 55.22	
-70	 0.700	 2.11	 0.15	 1.32	 12.79	 263.49	 8.37	 55.27	
-60	 0.700	 2.21	 0.15	 1.32	 12.79	 263.50	 8.40	 55.32	
-50	 0.700	 2.29	 0.15	 1.32	 12.78	 263.51	 8.42	 55.37	
-40	 0.700	 2.36	 0.15	 1.33	 12.78	 263.52	 8.45	 55.42	
-30	 0.700	 2.42	 0.15	 1.33	 12.78	 263.53	 8.49	 55.47	
-20	 0.700	 2.46	 0.16	 1.33	 12.77	 263.55	 8.52	 55.51	
-10	 0.700	 2.49	 0.16	 1.33	 12.77	 263.56	 8.55	 55.56	
  0	 0.700	 2.50	 0.16	 1.33	 12.77	 263.57	 8.57	 55.61	
 10	 0.700	 2.50	 0.16	 1.33	 12.77	 263.58	 8.60	 55.66	
 20	 0.700	 2.48	 0.16	 1.33	 12.76	 263.59	 8.63	 55.71	
 30	 0.700	 2.45	 0.16	 1.33	 12.76	 263.61	 8.66	 55.76	
 40	 0.700	 2.39	 0.16	 1.33	 12.76	 263.62	 8.68	 55.81	
 50	 0.700	 2.33	 0.16	 1.33	 12.75	 263.63	 8.71	 55.86	
 60	 0.700	 2.25	 0.16	 1.33	 12.75	 263.64	 8.74	 55.91	
 70	 0.700	 2.15	 0.16	 1.33	 12.75	 263.65	 8.77	 55.96	
 80	 0.700	 2.04	 0.16	 1.33	 12.74	 263.67	 8.80	 56.01	
 90	 0.700	 1.92	 0.16	 1.33	 12.74	 263.68	 8.82	 56.06	
100	 0.700	 1.78	 0.16	 1.33	 12.74	 263.69	 8.85	 56.11	
110	 0.700	 1.63	 0.17	 1.33	 12.73	 263.70	 8.83	 55.91	
120	 0.700	 1.46	 0.17	 1.33	 12.72	 263.71	 8.82	 55.71	
130	 0.700	 1.29	 0.17	 1.33	 12.71	 263.72	 8.80	 55.51	
140	 0.700	 1.10	 0.17	 1.33	 12.70	 263.72	 8.78	 55.31	
150	 0.700	 0.91	 0.17	 1.33	 12.70	 263.73	 8.76	 55.12	
160	 0.700	 0.71	 0.17	 1.33	 12.69	 263.74	 8.74	 54.92	
170	 0.700	 0.50	 0.17	 1.33	 12.68	 263.75	 8.73	 54.72	
180	 0.700	 0.29	 0.17	 1.33	 12.67	 263.76	 8.71	 54.52	
