Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°111
Type of Scenario: real past forcing event (from the damage database of Idier et al. (2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]) 
High Tide date (UTC): 1911-12-07T04:00:00 
Data source: Hydro-Meteorological database (1900-2016) built by Idier et al.(2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]. 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.332	 0.27	 0.12	 2.54	 11.26	 267.94	 15.33	 213.60	
-170	 0.332	 0.46	 0.12	 2.57	 11.22	 267.76	 15.09	 215.18	
-160	 0.332	 0.64	 0.12	 2.59	 11.18	 267.58	 14.84	 216.76	
-150	 0.332	 0.81	 0.13	 2.62	 11.14	 267.41	 14.59	 218.34	
-140	 0.332	 0.98	 0.13	 2.64	 11.10	 267.23	 14.35	 219.91	
-130	 0.332	 1.14	 0.13	 2.67	 11.06	 267.06	 14.10	 221.49	
-120	 0.332	 1.30	 0.13	 2.69	 11.02	 266.88	 13.86	 223.07	
-110	 0.332	 1.44	 0.13	 2.72	 10.98	 266.71	 13.61	 224.64	
-100	 0.332	 1.57	 0.13	 2.74	 10.94	 266.53	 13.36	 226.22	
-90	 0.332	 1.69	 0.14	 2.77	 10.90	 266.36	 13.12	 227.80	
-80	 0.332	 1.80	 0.14	 2.79	 10.86	 266.18	 12.87	 229.38	
-70	 0.332	 1.89	 0.14	 2.82	 10.82	 266.01	 12.62	 230.95	
-60	 0.332	 1.97	 0.14	 2.84	 10.78	 265.83	 12.38	 232.53	
-50	 0.332	 2.04	 0.14	 2.87	 10.74	 265.65	 12.13	 234.11	
-40	 0.332	 2.10	 0.15	 2.89	 10.70	 265.48	 11.89	 235.69	
-30	 0.332	 2.14	 0.15	 2.92	 10.66	 265.30	 11.64	 237.26	
-20	 0.332	 2.17	 0.15	 2.94	 10.62	 265.13	 11.39	 238.84	
-10	 0.332	 2.19	 0.15	 2.97	 10.58	 264.95	 11.15	 240.42	
  0	 0.332	 2.19	 0.15	 2.99	 10.55	 264.78	 10.90	 241.99	
 10	 0.332	 2.18	 0.16	 3.02	 10.51	 264.60	 10.65	 243.57	
 20	 0.332	 2.16	 0.16	 3.04	 10.47	 264.43	 10.41	 245.15	
 30	 0.332	 2.12	 0.16	 3.07	 10.43	 264.25	 10.16	 246.73	
 40	 0.332	 2.07	 0.16	 3.09	 10.39	 264.08	 9.92	 248.30	
 50	 0.332	 2.00	 0.16	 3.12	 10.35	 263.90	 9.67	 249.88	
 60	 0.332	 1.93	 0.17	 3.14	 10.31	 263.73	 9.42	 251.46	
 70	 0.332	 1.84	 0.17	 3.17	 10.27	 263.55	 9.18	 253.04	
 80	 0.332	 1.73	 0.17	 3.19	 10.23	 263.37	 8.93	 254.61	
 90	 0.332	 1.62	 0.17	 3.22	 10.19	 263.20	 8.69	 256.19	
100	 0.332	 1.50	 0.17	 3.24	 10.15	 263.02	 8.44	 257.77	
110	 0.332	 1.36	 0.18	 3.27	 10.11	 262.85	 8.19	 259.34	
120	 0.332	 1.22	 0.18	 3.29	 10.07	 262.67	 7.95	 260.92	
130	 0.332	 1.07	 0.17	 3.29	 10.09	 262.73	 7.99	 262.52	
140	 0.332	 0.90	 0.17	 3.28	 10.11	 262.78	 8.04	 264.11	
150	 0.332	 0.74	 0.17	 3.28	 10.13	 262.84	 8.08	 265.71	
160	 0.332	 0.56	 0.17	 3.28	 10.15	 262.89	 8.13	 267.30	
170	 0.332	 0.38	 0.16	 3.28	 10.17	 262.95	 8.17	 268.90	
180	 0.332	 0.20	 0.16	 3.27	 10.19	 263.00	 8.22	 270.49	
