Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°213
Type of Scenario: real past forcing event (outside the damage database of Idier et al. (2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]) 
High Tide date (UTC): 1964-06-12T05:00:00 
Data source: Hydro-Meteorological database (1900-2016) built by Idier et al.(2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]. 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.430	 0.13	 -0.00	 1.83	 10.91	 264.60	 5.38	 116.27	
-170	 0.430	 0.32	 -0.00	 1.82	 10.90	 264.63	 5.39	 115.88	
-160	 0.430	 0.49	 -0.00	 1.82	 10.89	 264.67	 5.39	 115.49	
-150	 0.430	 0.66	 0.00	 1.81	 10.87	 264.70	 5.40	 115.10	
-140	 0.430	 0.83	 0.00	 1.81	 10.86	 264.73	 5.40	 114.71	
-130	 0.430	 0.98	 0.00	 1.80	 10.85	 264.77	 5.40	 114.31	
-120	 0.430	 1.13	 0.00	 1.79	 10.83	 264.80	 5.41	 113.92	
-110	 0.430	 1.27	 0.01	 1.79	 10.82	 264.83	 5.41	 113.53	
-100	 0.430	 1.39	 0.01	 1.78	 10.81	 264.87	 5.42	 113.14	
-90	 0.430	 1.51	 0.01	 1.78	 10.79	 264.90	 5.42	 112.75	
-80	 0.430	 1.61	 0.01	 1.77	 10.78	 264.93	 5.42	 112.36	
-70	 0.430	 1.71	 0.01	 1.77	 10.77	 264.97	 5.43	 111.97	
-60	 0.430	 1.79	 0.01	 1.76	 10.75	 265.00	 5.43	 111.58	
-50	 0.430	 1.86	 0.01	 1.75	 10.74	 265.03	 5.44	 111.19	
-40	 0.430	 1.92	 0.01	 1.75	 10.73	 265.07	 5.44	 110.80	
-30	 0.430	 1.96	 0.02	 1.74	 10.72	 265.10	 5.45	 110.41	
-20	 0.430	 2.00	 0.02	 1.74	 10.70	 265.13	 5.45	 110.02	
-10	 0.430	 2.02	 0.02	 1.73	 10.69	 265.17	 5.45	 109.63	
  0	 0.430	 2.03	 0.02	 1.73	 10.68	 265.20	 5.46	 109.24	
 10	 0.430	 2.03	 0.02	 1.72	 10.66	 265.23	 5.46	 108.85	
 20	 0.430	 2.02	 0.02	 1.71	 10.65	 265.27	 5.47	 108.45	
 30	 0.430	 1.99	 0.02	 1.71	 10.64	 265.30	 5.47	 108.06	
 40	 0.430	 1.95	 0.02	 1.70	 10.62	 265.33	 5.47	 107.67	
 50	 0.430	 1.90	 0.02	 1.70	 10.61	 265.37	 5.48	 107.28	
 60	 0.430	 1.84	 0.03	 1.69	 10.60	 265.40	 5.48	 106.89	
 70	 0.430	 1.76	 0.03	 1.68	 10.59	 265.40	 5.41	 106.68	
 80	 0.430	 1.67	 0.03	 1.68	 10.58	 265.40	 5.34	 106.46	
 90	 0.430	 1.57	 0.03	 1.67	 10.57	 265.40	 5.27	 106.25	
100	 0.430	 1.46	 0.03	 1.67	 10.56	 265.40	 5.20	 106.04	
110	 0.430	 1.34	 0.03	 1.66	 10.55	 265.40	 5.13	 105.82	
120	 0.430	 1.20	 0.03	 1.65	 10.54	 265.40	 5.06	 105.61	
130	 0.430	 1.06	 0.03	 1.65	 10.53	 265.40	 4.99	 105.39	
140	 0.430	 0.90	 0.03	 1.64	 10.52	 265.40	 4.92	 105.18	
150	 0.430	 0.74	 0.03	 1.63	 10.51	 265.40	 4.85	 104.97	
160	 0.430	 0.57	 0.03	 1.63	 10.50	 265.40	 4.78	 104.75	
170	 0.430	 0.39	 0.03	 1.62	 10.49	 265.40	 4.71	 104.54	
180	 0.430	 0.21	 0.03	 1.61	 10.48	 265.40	 4.64	 104.32	
