Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°128
Type of Scenario: variation around a real past forcing event (High Tide date (UTC): 2001-01-10T03:40:00; scenario n°98) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.699	 0.24	 0.24	 3.89	 11.91	 236.76	 15.79	 209.13	
-170	 0.699	 0.43	 0.24	 3.92	 11.87	 236.53	 16.17	 211.77	
-160	 0.699	 0.61	 0.24	 3.95	 11.83	 236.30	 16.55	 214.42	
-150	 0.699	 0.79	 0.24	 3.99	 11.79	 236.07	 16.88	 215.57	
-140	 0.699	 0.96	 0.24	 4.02	 11.75	 235.84	 17.21	 216.72	
-130	 0.699	 1.12	 0.24	 4.05	 11.71	 235.61	 17.53	 217.86	
-120	 0.699	 1.27	 0.24	 4.09	 11.67	 235.38	 17.86	 219.01	
-110	 0.699	 1.42	 0.24	 4.12	 11.63	 235.15	 18.19	 220.16	
-100	 0.699	 1.55	 0.24	 4.15	 11.58	 234.92	 18.51	 221.31	
-90	 0.699	 1.68	 0.24	 4.19	 11.54	 234.69	 18.53	 221.62	
-80	 0.699	 1.79	 0.24	 4.22	 11.50	 234.46	 18.54	 221.93	
-70	 0.699	 1.89	 0.24	 4.25	 11.46	 234.23	 18.56	 222.25	
-60	 0.699	 1.98	 0.24	 4.29	 11.42	 234.00	 18.57	 222.56	
-50	 0.699	 2.05	 0.24	 4.32	 11.38	 233.77	 18.59	 222.87	
-40	 0.699	 2.12	 0.24	 4.35	 11.34	 233.54	 18.60	 223.18	
-30	 0.699	 2.17	 0.24	 4.39	 11.30	 233.31	 18.54	 223.57	
-20	 0.699	 2.20	 0.24	 4.42	 11.26	 233.09	 18.47	 223.96	
-10	 0.699	 2.22	 0.24	 4.45	 11.21	 232.86	 18.40	 224.35	
  0	 0.699	 2.23	 0.24	 4.49	 11.17	 232.63	 18.33	 224.74	
 10	 0.699	 2.23	 0.24	 4.52	 11.13	 232.40	 18.26	 225.13	
 20	 0.699	 2.21	 0.24	 4.55	 11.09	 232.17	 18.19	 225.52	
 30	 0.699	 2.18	 0.24	 4.59	 11.05	 231.94	 18.11	 226.25	
 40	 0.699	 2.13	 0.24	 4.62	 11.01	 231.71	 18.02	 226.98	
 50	 0.699	 2.07	 0.24	 4.65	 10.97	 231.48	 17.94	 227.71	
 60	 0.699	 2.00	 0.24	 4.69	 10.93	 231.25	 17.86	 228.43	
 70	 0.699	 1.91	 0.23	 4.72	 10.88	 231.02	 17.78	 229.16	
 80	 0.699	 1.82	 0.23	 4.75	 10.84	 230.79	 17.70	 229.89	
 90	 0.699	 1.70	 0.23	 4.79	 10.80	 230.56	 17.74	 230.50	
100	 0.699	 1.58	 0.23	 4.82	 10.76	 230.33	 17.79	 231.11	
110	 0.699	 1.45	 0.23	 4.85	 10.72	 230.10	 17.83	 231.73	
120	 0.699	 1.30	 0.23	 4.89	 10.68	 229.87	 17.88	 232.34	
130	 0.699	 1.14	 0.23	 4.92	 10.64	 229.64	 17.92	 232.95	
140	 0.699	 0.98	 0.23	 4.95	 10.60	 229.41	 17.96	 233.56	
150	 0.699	 0.81	 0.23	 4.95	 10.60	 229.49	 17.93	 234.22	
160	 0.699	 0.63	 0.23	 4.94	 10.60	 229.56	 17.89	 234.89	
170	 0.699	 0.44	 0.22	 4.93	 10.60	 229.64	 17.85	 235.55	
180	 0.699	 0.25	 0.22	 4.93	 10.60	 229.72	 17.82	 236.21	
