Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°94
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.600	 0.17	 0.05	 4.24	 11.73	 253.48	 6.88	 21.82	
-170	 0.600	 0.34	 0.05	 4.24	 11.81	 252.60	 6.90	 19.91	
-160	 0.600	 0.50	 0.05	 4.23	 11.87	 251.71	 6.95	 18.04	
-150	 0.600	 0.67	 0.05	 4.22	 11.91	 251.04	 7.01	 16.04	
-140	 0.600	 0.82	 0.05	 4.22	 11.94	 250.34	 7.11	 13.35	
-130	 0.600	 0.97	 0.05	 4.22	 11.97	 249.35	 7.17	 11.48	
-120	 0.600	 1.11	 0.06	 4.21	 11.94	 247.87	 7.26	 8.85	
-110	 0.600	 1.25	 0.05	 4.21	 11.91	 246.64	 7.38	 6.04	
-100	 0.600	 1.37	 0.06	 4.20	 11.87	 245.56	 7.45	 2.85	
-90	 0.600	 1.48	 0.05	 4.20	 11.86	 244.03	 7.55	 359.59	
-80	 0.600	 1.58	 0.05	 4.21	 11.85	 242.55	 7.57	 357.08	
-70	 0.600	 1.67	 0.05	 4.20	 11.80	 241.61	 7.66	 354.78	
-60	 0.600	 1.75	 0.05	 4.20	 11.79	 241.04	 7.75	 352.77	
-50	 0.600	 1.82	 0.06	 4.20	 11.81	 240.52	 7.81	 350.70	
-40	 0.600	 1.87	 0.06	 4.19	 11.84	 239.86	 7.89	 348.29	
-30	 0.600	 1.91	 0.06	 4.19	 11.82	 239.76	 7.95	 345.44	
-20	 0.600	 1.94	 0.06	 4.19	 11.83	 239.41	 8.05	 342.95	
-10	 0.600	 1.96	 0.06	 4.18	 11.82	 239.50	 8.15	 340.72	
  0	 0.600	 1.96	 0.06	 4.18	 11.76	 239.56	 8.22	 337.78	
 10	 0.600	 1.95	 0.07	 4.17	 11.69	 239.29	 8.28	 333.85	
 20	 0.600	 1.93	 0.07	 4.17	 11.62	 239.27	 8.41	 330.35	
 30	 0.600	 1.90	 0.07	 4.16	 11.54	 239.29	 8.50	 326.61	
 40	 0.600	 1.85	 0.07	 4.15	 11.45	 239.35	 8.59	 322.91	
 50	 0.600	 1.80	 0.07	 4.14	 11.41	 239.17	 8.68	 319.50	
 60	 0.600	 1.73	 0.07	 4.14	 11.36	 239.19	 8.79	 317.29	
 70	 0.600	 1.65	 0.07	 4.13	 11.31	 239.51	 8.88	 315.88	
 80	 0.600	 1.56	 0.07	 4.12	 11.28	 239.93	 8.98	 314.70	
 90	 0.600	 1.46	 0.07	 4.11	 11.27	 240.71	 9.05	 314.54	
100	 0.600	 1.35	 0.07	 4.11	 11.29	 241.45	 9.13	 314.21	
110	 0.600	 1.23	 0.07	 4.10	 11.28	 242.17	 9.20	 314.21	
120	 0.600	 1.10	 0.07	 4.09	 11.27	 242.87	 9.25	 313.69	
130	 0.600	 0.97	 0.07	 4.08	 11.28	 243.65	 9.28	 312.69	
140	 0.600	 0.83	 0.07	 4.08	 11.28	 244.10	 9.30	 311.74	
150	 0.600	 0.69	 0.07	 4.08	 11.28	 243.82	 9.27	 310.46	
160	 0.600	 0.54	 0.07	 4.07	 11.28	 243.37	 9.23	 309.42	
170	 0.600	 0.38	 0.06	 4.07	 11.27	 242.76	 9.19	 308.03	
180	 0.600	 0.21	 0.07	 4.06	 11.26	 242.17	 9.16	 306.98	
