Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°238
Type of Scenario: real past forcing event (outside the damage database of Idier et al. (2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]) 
High Tide date (UTC): 1955-07-20T04:10:00 
Data source: Hydro-Meteorological database (1900-2016) built by Idier et al.(2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]. 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.420	 0.27	 -0.00	 0.59	 8.35	 267.27	 3.73	 98.50	
-170	 0.420	 0.44	 -0.00	 0.59	 8.35	 267.29	 3.75	 98.76	
-160	 0.420	 0.61	 -0.00	 0.59	 8.34	 267.32	 3.78	 99.01	
-150	 0.420	 0.76	 -0.00	 0.59	 8.34	 267.34	 3.80	 99.26	
-140	 0.420	 0.91	 -0.00	 0.59	 8.33	 267.36	 3.82	 99.52	
-130	 0.420	 1.06	 0.00	 0.60	 8.33	 267.38	 3.84	 99.77	
-120	 0.420	 1.19	 0.00	 0.60	 8.33	 267.41	 3.86	 100.02	
-110	 0.420	 1.32	 0.00	 0.60	 8.32	 267.43	 3.88	 100.28	
-100	 0.420	 1.43	 0.00	 0.60	 8.32	 267.45	 3.90	 100.53	
-90	 0.420	 1.54	 0.00	 0.60	 8.31	 267.47	 3.92	 100.78	
-80	 0.420	 1.64	 0.00	 0.60	 8.31	 267.49	 3.94	 101.04	
-70	 0.420	 1.72	 0.00	 0.60	 8.31	 267.52	 3.96	 101.29	
-60	 0.420	 1.80	 0.00	 0.60	 8.30	 267.54	 3.98	 101.54	
-50	 0.420	 1.86	 0.00	 0.60	 8.30	 267.56	 4.00	 101.80	
-40	 0.420	 1.92	 0.00	 0.61	 8.29	 267.58	 4.02	 102.05	
-30	 0.420	 1.96	 0.00	 0.61	 8.29	 267.61	 4.04	 102.30	
-20	 0.420	 1.99	 0.00	 0.61	 8.29	 267.63	 4.06	 102.56	
-10	 0.420	 2.01	 0.00	 0.61	 8.28	 267.65	 4.09	 102.81	
  0	 0.420	 2.01	 0.00	 0.61	 8.28	 267.67	 4.11	 103.06	
 10	 0.420	 2.00	 0.00	 0.61	 8.27	 267.69	 4.13	 103.32	
 20	 0.420	 1.98	 0.00	 0.61	 8.27	 267.72	 4.15	 103.57	
 30	 0.420	 1.95	 0.00	 0.61	 8.27	 267.74	 4.17	 103.82	
 40	 0.420	 1.90	 0.00	 0.62	 8.26	 267.76	 4.19	 104.08	
 50	 0.420	 1.84	 0.00	 0.62	 8.26	 267.78	 4.21	 104.33	
 60	 0.420	 1.76	 0.00	 0.62	 8.25	 267.81	 4.23	 104.59	
 70	 0.420	 1.67	 0.00	 0.62	 8.25	 267.83	 4.25	 104.84	
 80	 0.420	 1.56	 0.00	 0.62	 8.25	 267.85	 4.27	 105.09	
 90	 0.420	 1.45	 0.00	 0.62	 8.24	 267.87	 4.29	 105.35	
100	 0.420	 1.32	 0.00	 0.62	 8.24	 267.90	 4.31	 105.60	
110	 0.420	 1.18	 0.00	 0.62	 8.23	 267.92	 4.33	 105.85	
120	 0.420	 1.02	 0.00	 0.62	 8.23	 267.99	 4.31	 106.18	
130	 0.420	 0.86	 0.00	 0.62	 8.22	 268.06	 4.29	 106.50	
140	 0.420	 0.69	 0.00	 0.63	 8.22	 268.12	 4.27	 106.82	
150	 0.420	 0.51	 0.00	 0.63	 8.21	 268.19	 4.24	 107.15	
160	 0.420	 0.32	 0.00	 0.63	 8.21	 268.26	 4.22	 107.47	
170	 0.420	 0.13	 0.00	 0.63	 8.20	 268.33	 4.20	 107.79	
180	 0.420	 -0.06	 0.00	 0.63	 8.20	 268.40	 4.18	 108.12	
