Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°158
Type of Scenario: variation around a statistical event (scenario n°15) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.850	 0.10	 0.84	 3.00	 13.98	 286.92	 6.73	 132.90	
-170	 0.850	 0.35	 0.84	 3.00	 13.91	 287.15	 6.69	 135.27	
-160	 0.850	 0.58	 0.84	 2.99	 13.86	 287.70	 6.66	 138.29	
-150	 0.850	 0.82	 0.84	 2.98	 13.87	 287.99	 6.62	 141.28	
-140	 0.850	 1.04	 0.83	 2.98	 13.87	 287.87	 6.58	 143.41	
-130	 0.850	 1.25	 0.83	 2.98	 13.81	 287.36	 6.55	 145.73	
-120	 0.850	 1.45	 0.84	 2.98	 13.74	 287.12	 6.55	 148.10	
-110	 0.850	 1.64	 0.84	 2.97	 13.66	 286.84	 6.58	 150.16	
-100	 0.850	 1.80	 0.84	 2.97	 13.54	 286.25	 6.58	 152.41	
-90	 0.850	 1.96	 0.84	 2.97	 13.44	 285.34	 6.56	 154.58	
-80	 0.850	 2.10	 0.84	 2.97	 13.34	 284.97	 6.54	 156.08	
-70	 0.850	 2.22	 0.83	 2.97	 13.28	 284.84	 6.54	 157.17	
-60	 0.850	 2.33	 0.83	 2.97	 13.26	 284.36	 6.58	 157.38	
-50	 0.850	 2.42	 0.83	 2.98	 13.18	 283.66	 6.62	 157.97	
-40	 0.850	 2.49	 0.83	 2.98	 13.08	 282.88	 6.64	 158.06	
-30	 0.850	 2.55	 0.83	 2.98	 12.94	 282.68	 6.66	 157.75	
-20	 0.850	 2.59	 0.83	 2.99	 12.79	 282.15	 6.66	 159.15	
-10	 0.850	 2.61	 0.83	 2.99	 12.65	 281.43	 6.67	 161.11	
  0	 0.850	 2.62	 0.83	 3.01	 12.49	 281.10	 6.63	 163.38	
 10	 0.850	 2.61	 0.83	 3.02	 12.37	 280.94	 6.57	 164.85	
 20	 0.850	 2.59	 0.83	 3.02	 12.29	 281.13	 6.51	 166.48	
 30	 0.850	 2.55	 0.83	 3.02	 12.20	 281.02	 6.51	 167.24	
 40	 0.850	 2.50	 0.83	 3.03	 12.13	 281.13	 6.52	 167.55	
 50	 0.850	 2.42	 0.82	 3.03	 12.04	 281.24	 6.49	 167.78	
 60	 0.850	 2.36	 0.82	 3.04	 11.93	 281.30	 6.42	 167.89	
 70	 0.850	 2.27	 0.82	 3.05	 11.88	 281.11	 6.40	 167.78	
 80	 0.850	 2.16	 0.82	 3.06	 11.77	 280.45	 6.40	 167.78	
 90	 0.850	 2.03	 0.81	 3.06	 11.70	 279.66	 6.41	 168.15	
100	 0.850	 1.91	 0.81	 3.07	 11.66	 279.05	 6.39	 168.21	
110	 0.850	 1.76	 0.80	 3.07	 11.65	 278.34	 6.36	 167.99	
120	 0.850	 1.61	 0.80	 3.08	 11.66	 277.72	 6.39	 167.99	
130	 0.850	 1.44	 0.80	 3.09	 11.64	 277.37	 6.43	 167.48	
140	 0.850	 1.26	 0.80	 3.09	 11.64	 277.43	 6.49	 166.81	
150	 0.850	 1.08	 0.80	 3.10	 11.58	 277.63	 6.55	 166.20	
160	 0.850	 0.89	 0.79	 3.10	 11.54	 277.72	 6.61	 165.76	
170	 0.850	 0.69	 0.79	 3.11	 11.45	 278.06	 6.64	 164.84	
180	 0.850	 0.47	 0.79	 3.12	 11.36	 278.43	 6.66	 163.56	
