Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°141
Type of Scenario: variation around a statistical event (scenario n°39) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.850	 0.10	 0.84	 8.20	 15.78	 234.12	 20.35	 289.97	
-170	 0.850	 0.35	 0.84	 8.22	 15.74	 234.61	 20.44	 290.26	
-160	 0.850	 0.58	 0.84	 8.23	 15.72	 234.97	 20.46	 290.34	
-150	 0.850	 0.82	 0.84	 8.24	 15.68	 235.83	 20.53	 290.36	
-140	 0.850	 1.04	 0.83	 8.27	 15.68	 236.43	 20.60	 290.04	
-130	 0.850	 1.25	 0.83	 8.29	 15.65	 237.79	 20.69	 289.57	
-120	 0.850	 1.45	 0.84	 8.30	 15.65	 239.04	 20.77	 289.19	
-110	 0.850	 1.64	 0.84	 8.32	 15.68	 240.08	 20.84	 288.52	
-100	 0.850	 1.80	 0.84	 8.34	 15.73	 241.15	 20.88	 287.49	
-90	 0.850	 1.96	 0.84	 8.35	 15.80	 241.85	 20.92	 285.95	
-80	 0.850	 2.10	 0.84	 8.36	 15.84	 243.19	 20.93	 284.06	
-70	 0.850	 2.22	 0.83	 8.39	 15.89	 243.99	 20.96	 281.85	
-60	 0.850	 2.33	 0.83	 8.40	 15.92	 244.64	 21.00	 279.29	
-50	 0.850	 2.42	 0.83	 8.41	 15.91	 245.01	 21.04	 276.44	
-40	 0.850	 2.49	 0.83	 8.44	 15.88	 245.50	 21.16	 274.16	
-30	 0.850	 2.55	 0.83	 8.44	 15.83	 246.40	 21.26	 272.32	
-20	 0.850	 2.59	 0.83	 8.46	 15.77	 247.22	 21.38	 270.22	
-10	 0.850	 2.61	 0.83	 8.47	 15.73	 248.31	 21.47	 268.28	
  0	 0.850	 2.62	 0.83	 8.50	 15.73	 249.74	 21.53	 266.52	
 10	 0.850	 2.61	 0.83	 8.51	 15.73	 251.02	 21.61	 265.54	
 20	 0.850	 2.59	 0.83	 8.51	 15.76	 252.33	 21.68	 264.68	
 30	 0.850	 2.55	 0.83	 8.53	 15.72	 253.37	 21.70	 264.40	
 40	 0.850	 2.50	 0.83	 8.54	 15.71	 254.23	 21.68	 264.40	
 50	 0.850	 2.42	 0.82	 8.56	 15.71	 254.93	 21.64	 264.30	
 60	 0.850	 2.36	 0.82	 8.57	 15.66	 255.30	 21.65	 264.67	
 70	 0.850	 2.27	 0.82	 8.59	 15.60	 255.69	 21.68	 265.06	
 80	 0.850	 2.16	 0.82	 8.60	 15.56	 255.90	 21.68	 265.30	
 90	 0.850	 2.03	 0.81	 8.62	 15.59	 256.29	 21.61	 264.71	
100	 0.850	 1.91	 0.81	 8.63	 15.60	 257.12	 21.53	 264.42	
110	 0.850	 1.76	 0.80	 8.63	 15.61	 257.75	 21.49	 264.05	
120	 0.850	 1.61	 0.80	 8.64	 15.68	 258.31	 21.43	 264.44	
130	 0.850	 1.44	 0.80	 8.65	 15.78	 258.89	 21.36	 264.79	
140	 0.850	 1.26	 0.80	 8.65	 15.83	 259.30	 21.35	 265.43	
150	 0.850	 1.08	 0.80	 8.66	 15.88	 259.58	 21.38	 265.93	
160	 0.850	 0.89	 0.79	 8.68	 15.90	 259.52	 21.37	 267.19	
170	 0.850	 0.69	 0.79	 8.69	 15.91	 259.52	 21.40	 268.53	
180	 0.850	 0.47	 0.79	 8.69	 15.94	 260.03	 21.44	 269.82	
