Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°137
Type of Scenario: variation around a real past forcing event (High Tide date (UTC): 1924-01-09T05:30:00; scenario n°95) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.700	 0.31	 0.10	 0.73	 13.99	 266.67	 4.33	 22.60	
-170	 0.700	 0.51	 0.10	 0.73	 14.13	 266.43	 4.30	 22.84	
-160	 0.700	 0.71	 0.10	 0.73	 14.27	 266.19	 4.27	 23.08	
-150	 0.700	 0.91	 0.10	 0.73	 14.43	 265.96	 4.24	 23.32	
-140	 0.700	 1.09	 0.10	 0.71	 14.57	 265.72	 4.22	 23.56	
-130	 0.700	 1.27	 0.08	 0.71	 14.72	 265.48	 4.18	 23.80	
-120	 0.700	 1.43	 0.08	 0.71	 14.86	 265.25	 4.16	 24.04	
-110	 0.700	 1.59	 0.08	 0.71	 15.00	 265.01	 4.13	 24.28	
-100	 0.700	 1.73	 0.08	 0.71	 15.16	 264.77	 4.10	 24.52	
-90	 0.700	 1.86	 0.08	 0.71	 15.30	 264.54	 4.08	 24.76	
-80	 0.700	 1.98	 0.08	 0.71	 15.44	 264.30	 4.05	 25.00	
-70	 0.700	 2.09	 0.08	 0.71	 15.59	 264.06	 4.02	 25.25	
-60	 0.700	 2.18	 0.08	 0.71	 15.74	 263.82	 3.99	 25.49	
-50	 0.700	 2.26	 0.08	 0.71	 15.88	 263.59	 3.96	 25.73	
-40	 0.700	 2.32	 0.08	 0.71	 16.03	 263.35	 3.93	 25.97	
-30	 0.700	 2.38	 0.08	 0.71	 16.17	 263.11	 3.91	 26.21	
-20	 0.700	 2.41	 0.08	 0.70	 16.32	 262.88	 3.87	 26.45	
-10	 0.700	 2.44	 0.08	 0.70	 16.47	 262.64	 3.85	 26.69	
  0	 0.700	 2.44	 0.08	 0.70	 16.61	 262.40	 3.82	 26.93	
 10	 0.700	 2.44	 0.08	 0.70	 16.75	 262.16	 3.79	 27.17	
 20	 0.700	 2.42	 0.08	 0.70	 16.74	 262.11	 3.79	 28.41	
 30	 0.700	 2.38	 0.08	 0.70	 16.73	 262.06	 3.79	 29.64	
 40	 0.700	 2.33	 0.08	 0.70	 16.72	 262.01	 3.78	 30.88	
 50	 0.700	 2.27	 0.08	 0.70	 16.71	 261.96	 3.78	 32.12	
 60	 0.700	 2.19	 0.08	 0.70	 16.69	 261.91	 3.78	 33.35	
 70	 0.700	 2.10	 0.08	 0.70	 16.68	 261.86	 3.78	 34.59	
 80	 0.700	 1.99	 0.08	 0.70	 16.67	 261.81	 3.77	 35.82	
 90	 0.700	 1.87	 0.08	 0.70	 16.66	 261.75	 3.77	 37.06	
100	 0.700	 1.74	 0.08	 0.70	 16.65	 261.70	 3.77	 38.29	
110	 0.700	 1.59	 0.08	 0.70	 16.62	 261.65	 3.75	 39.53	
120	 0.700	 1.43	 0.08	 0.70	 16.61	 261.60	 3.75	 40.77	
130	 0.700	 1.26	 0.08	 0.70	 16.60	 261.55	 3.75	 42.00	
140	 0.700	 1.08	 0.08	 0.70	 16.59	 261.50	 3.75	 43.24	
150	 0.700	 0.89	 0.08	 0.70	 16.57	 261.45	 3.74	 44.47	
160	 0.700	 0.70	 0.08	 0.69	 16.56	 261.40	 3.74	 45.71	
170	 0.700	 0.49	 0.08	 0.69	 16.55	 261.34	 3.74	 46.94	
180	 0.700	 0.29	 0.10	 0.69	 16.54	 261.29	 3.73	 48.18	
