Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°30
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.920	 0.12	 0.45	 5.13	 17.86	 237.69	 16.44	 170.19	
-170	 0.920	 0.29	 0.45	 5.14	 17.89	 238.02	 16.30	 170.44	
-160	 0.920	 0.45	 0.45	 5.15	 17.91	 238.18	 16.15	 171.17	
-150	 0.920	 0.62	 0.46	 5.16	 17.96	 238.07	 16.02	 171.60	
-140	 0.920	 0.77	 0.46	 5.17	 17.99	 238.02	 15.94	 172.80	
-130	 0.920	 0.91	 0.46	 5.18	 18.05	 237.84	 15.86	 173.03	
-120	 0.920	 1.05	 0.46	 5.19	 18.10	 237.85	 15.79	 173.14	
-110	 0.920	 1.17	 0.47	 5.19	 18.15	 237.93	 15.79	 173.37	
-100	 0.920	 1.29	 0.47	 5.21	 18.17	 238.47	 15.78	 173.19	
-90	 0.920	 1.39	 0.46	 5.22	 18.18	 239.33	 15.76	 173.58	
-80	 0.920	 1.49	 0.47	 5.23	 18.25	 240.06	 15.67	 174.11	
-70	 0.920	 1.56	 0.46	 5.23	 18.32	 240.94	 15.56	 174.59	
-60	 0.920	 1.63	 0.46	 5.24	 18.35	 241.81	 15.47	 174.63	
-50	 0.920	 1.70	 0.46	 5.24	 18.40	 242.58	 15.40	 174.19	
-40	 0.920	 1.74	 0.45	 5.24	 18.49	 242.82	 15.32	 173.79	
-30	 0.920	 1.79	 0.46	 5.25	 18.59	 242.69	 15.26	 173.05	
-20	 0.920	 1.81	 0.46	 5.25	 18.68	 242.69	 15.22	 173.27	
-10	 0.920	 1.84	 0.46	 5.26	 18.79	 242.67	 15.17	 173.45	
  0	 0.920	 1.85	 0.47	 5.27	 18.87	 242.64	 15.20	 174.02	
 10	 0.920	 1.84	 0.47	 5.26	 18.95	 242.73	 15.25	 174.75	
 20	 0.920	 1.83	 0.48	 5.27	 19.05	 243.42	 15.26	 175.09	
 30	 0.920	 1.80	 0.48	 5.27	 19.12	 244.31	 15.25	 174.94	
 40	 0.920	 1.78	 0.48	 5.28	 19.19	 245.04	 15.22	 174.10	
 50	 0.920	 1.73	 0.48	 5.28	 19.29	 246.03	 15.22	 173.01	
 60	 0.920	 1.68	 0.48	 5.28	 19.43	 247.27	 15.18	 170.92	
 70	 0.920	 1.61	 0.48	 5.29	 19.55	 248.49	 15.09	 168.85	
 80	 0.920	 1.54	 0.48	 5.28	 19.69	 249.55	 15.03	 166.94	
 90	 0.920	 1.45	 0.49	 5.29	 19.85	 250.30	 15.02	 165.34	
100	 0.920	 1.35	 0.49	 5.29	 20.00	 251.06	 14.99	 164.11	
110	 0.920	 1.24	 0.49	 5.30	 20.16	 251.28	 14.96	 163.16	
120	 0.920	 1.12	 0.50	 5.30	 20.33	 251.63	 15.00	 163.78	
130	 0.920	 1.00	 0.50	 5.31	 20.47	 252.02	 15.04	 164.69	
140	 0.920	 0.87	 0.50	 5.31	 20.56	 251.95	 15.11	 165.12	
150	 0.920	 0.73	 0.50	 5.31	 20.64	 252.49	 15.14	 165.48	
160	 0.920	 0.57	 0.50	 5.32	 20.70	 253.04	 15.21	 166.02	
170	 0.920	 0.42	 0.49	 5.33	 20.78	 254.06	 15.27	 166.72	
180	 0.920	 0.25	 0.49	 5.33	 20.81	 255.50	 15.27	 168.17	
