Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°61
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 1.760	 0.30	 0.21	 1.43	 11.32	 273.38	 9.64	 264.22	
-170	 1.760	 0.45	 0.21	 1.42	 11.40	 273.66	 9.63	 262.77	
-160	 1.760	 0.60	 0.21	 1.43	 11.45	 274.01	 9.65	 261.93	
-150	 1.760	 0.75	 0.21	 1.44	 11.46	 274.25	 9.69	 261.51	
-140	 1.760	 0.89	 0.21	 1.44	 11.49	 274.78	 9.76	 261.49	
-130	 1.760	 1.03	 0.22	 1.44	 11.52	 274.82	 9.83	 261.67	
-120	 1.760	 1.16	 0.22	 1.45	 11.45	 274.26	 9.99	 262.21	
-110	 1.760	 1.28	 0.22	 1.45	 11.35	 273.39	 10.16	 262.22	
-100	 1.760	 1.39	 0.22	 1.45	 11.32	 272.87	 10.35	 262.77	
-90	 1.760	 1.50	 0.23	 1.46	 11.25	 272.51	 10.53	 263.74	
-80	 1.760	 1.60	 0.23	 1.46	 11.21	 272.54	 10.72	 264.70	
-70	 1.760	 1.68	 0.23	 1.46	 11.19	 273.13	 10.88	 265.50	
-60	 1.760	 1.76	 0.23	 1.45	 11.15	 273.82	 11.05	 266.15	
-50	 1.760	 1.83	 0.23	 1.45	 11.15	 274.80	 11.21	 266.41	
-40	 1.760	 1.89	 0.23	 1.46	 11.09	 275.60	 11.31	 265.90	
-30	 1.760	 1.93	 0.23	 1.45	 11.09	 276.25	 11.41	 264.87	
-20	 1.760	 1.97	 0.23	 1.45	 11.08	 276.69	 11.54	 263.39	
-10	 1.760	 1.98	 0.22	 1.45	 11.08	 276.49	 11.67	 261.93	
  0	 1.760	 1.99	 0.23	 1.45	 11.08	 276.56	 11.76	 259.90	
 10	 1.760	 1.98	 0.23	 1.45	 11.10	 276.34	 11.83	 256.72	
 20	 1.760	 1.96	 0.23	 1.45	 11.14	 276.03	 11.92	 253.71	
 30	 1.760	 1.93	 0.23	 1.44	 11.17	 275.82	 12.00	 250.55	
 40	 1.760	 1.89	 0.23	 1.43	 11.18	 275.56	 12.02	 248.02	
 50	 1.760	 1.82	 0.23	 1.43	 11.15	 275.53	 12.04	 246.20	
 60	 1.760	 1.74	 0.23	 1.43	 11.10	 274.92	 12.14	 245.40	
 70	 1.760	 1.65	 0.23	 1.42	 11.03	 274.13	 12.26	 245.83	
 80	 1.760	 1.55	 0.23	 1.42	 10.98	 273.53	 12.37	 246.22	
 90	 1.760	 1.44	 0.23	 1.41	 10.93	 273.41	 12.47	 246.69	
100	 1.760	 1.31	 0.24	 1.40	 10.88	 273.19	 12.57	 246.37	
110	 1.760	 1.17	 0.24	 1.39	 10.87	 273.24	 12.67	 245.27	
120	 1.760	 1.02	 0.24	 1.39	 10.84	 273.54	 12.70	 244.60	
130	 1.760	 0.87	 0.24	 1.39	 10.85	 273.76	 12.72	 243.77	
140	 1.760	 0.71	 0.24	 1.38	 10.85	 273.94	 12.74	 243.41	
150	 1.760	 0.54	 0.24	 1.38	 10.83	 273.70	 12.69	 242.98	
160	 1.760	 0.36	 0.24	 1.37	 10.83	 273.65	 12.65	 242.91	
170	 1.760	 0.18	 0.24	 1.37	 10.83	 273.20	 12.62	 243.00	
180	 1.760	 -0.01	 0.23	 1.36	 10.83	 272.59	 12.62	 242.89	
