Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°87
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.390	 0.35	 0.52	 8.68	 17.89	 250.06	 19.06	 216.78	
-170	 0.390	 0.52	 0.52	 8.70	 17.89	 249.84	 19.12	 218.80	
-160	 0.390	 0.70	 0.52	 8.71	 17.83	 249.66	 19.17	 220.85	
-150	 0.390	 0.85	 0.51	 8.73	 17.82	 249.03	 19.23	 222.56	
-140	 0.390	 1.01	 0.51	 8.74	 17.77	 248.64	 19.25	 224.56	
-130	 0.390	 1.16	 0.50	 8.76	 17.70	 248.79	 19.24	 227.00	
-120	 0.390	 1.30	 0.50	 8.78	 17.67	 249.11	 19.32	 229.66	
-110	 0.390	 1.43	 0.51	 8.78	 17.59	 249.81	 19.39	 232.31	
-100	 0.390	 1.56	 0.51	 8.80	 17.54	 250.40	 19.43	 234.29	
-90	 0.390	 1.67	 0.51	 8.81	 17.48	 251.55	 19.42	 236.02	
-80	 0.390	 1.77	 0.51	 8.82	 17.40	 252.48	 19.49	 237.86	
-70	 0.390	 1.85	 0.51	 8.83	 17.34	 252.73	 19.53	 239.04	
-60	 0.390	 1.94	 0.51	 8.85	 17.25	 252.90	 19.53	 239.23	
-50	 0.390	 2.00	 0.51	 8.86	 17.23	 252.89	 19.55	 240.36	
-40	 0.390	 2.05	 0.51	 8.86	 17.22	 252.75	 19.64	 241.66	
-30	 0.390	 2.09	 0.51	 8.88	 17.22	 252.63	 19.71	 242.69	
-20	 0.390	 2.13	 0.51	 8.89	 17.21	 252.48	 19.74	 243.46	
-10	 0.390	 2.14	 0.51	 8.90	 17.21	 252.20	 19.77	 243.50	
  0	 0.390	 2.15	 0.51	 8.92	 17.20	 251.85	 19.82	 243.15	
 10	 0.390	 2.14	 0.51	 8.93	 17.15	 251.46	 19.86	 242.22	
 20	 0.390	 2.12	 0.51	 8.94	 17.12	 251.64	 19.85	 241.14	
 30	 0.390	 2.09	 0.51	 8.95	 17.08	 251.91	 19.81	 240.16	
 40	 0.390	 2.06	 0.51	 8.96	 17.07	 252.43	 19.82	 239.72	
 50	 0.390	 2.00	 0.51	 8.97	 17.09	 253.55	 19.83	 239.42	
 60	 0.390	 1.94	 0.51	 8.98	 17.07	 254.55	 19.80	 239.48	
 70	 0.390	 1.86	 0.51	 8.99	 17.05	 255.52	 19.78	 239.14	
 80	 0.390	 1.78	 0.51	 9.00	 16.98	 256.00	 19.79	 237.82	
 90	 0.390	 1.68	 0.51	 9.00	 16.93	 256.42	 19.82	 236.51	
100	 0.390	 1.58	 0.51	 9.01	 16.88	 256.38	 19.88	 235.24	
110	 0.390	 1.45	 0.50	 9.02	 16.81	 256.08	 19.93	 234.73	
120	 0.390	 1.33	 0.51	 9.04	 16.78	 255.92	 20.06	 233.15	
130	 0.390	 1.20	 0.51	 9.04	 16.75	 256.03	 20.17	 232.07	
140	 0.390	 1.05	 0.51	 9.05	 16.72	 256.49	 20.29	 231.46	
150	 0.390	 0.90	 0.51	 9.06	 16.68	 257.08	 20.41	 231.36	
160	 0.390	 0.73	 0.50	 9.06	 16.61	 257.60	 20.54	 231.00	
170	 0.390	 0.57	 0.50	 9.07	 16.56	 258.38	 20.67	 230.08	
180	 0.390	 0.40	 0.50	 9.07	 16.51	 258.85	 20.78	 229.89	
