Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°48
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 1.390	 0.27	 0.80	 7.19	 13.57	 263.36	 16.03	 319.57	
-170	 1.390	 0.49	 0.79	 7.21	 13.56	 262.75	 15.96	 320.99	
-160	 1.390	 0.71	 0.79	 7.23	 13.56	 262.05	 15.88	 322.93	
-150	 1.390	 0.92	 0.79	 7.25	 13.63	 261.16	 15.81	 324.52	
-140	 1.390	 1.12	 0.78	 7.28	 13.72	 260.61	 15.68	 325.28	
-130	 1.390	 1.31	 0.78	 7.29	 13.83	 260.39	 15.59	 326.49	
-120	 1.390	 1.49	 0.78	 7.31	 13.92	 260.24	 15.52	 327.68	
-110	 1.390	 1.66	 0.78	 7.32	 13.99	 260.42	 15.44	 328.64	
-100	 1.390	 1.81	 0.79	 7.34	 14.10	 260.62	 15.38	 329.58	
-90	 1.390	 1.96	 0.79	 7.36	 14.18	 260.52	 15.25	 330.13	
-80	 1.390	 2.09	 0.79	 7.37	 14.24	 260.25	 15.20	 331.21	
-70	 1.390	 2.20	 0.79	 7.38	 14.28	 259.48	 15.12	 331.13	
-60	 1.390	 2.31	 0.79	 7.39	 14.34	 259.26	 15.05	 331.59	
-50	 1.390	 2.39	 0.80	 7.40	 14.39	 258.49	 14.98	 331.85	
-40	 1.390	 2.46	 0.79	 7.41	 14.43	 257.84	 14.90	 333.38	
-30	 1.390	 2.51	 0.79	 7.42	 14.45	 257.47	 14.86	 335.17	
-20	 1.390	 2.55	 0.79	 7.43	 14.47	 257.25	 14.77	 337.61	
-10	 1.390	 2.57	 0.78	 7.44	 14.46	 257.35	 14.65	 340.57	
  0	 1.390	 2.58	 0.78	 7.45	 14.48	 257.29	 14.57	 343.83	
 10	 1.390	 2.57	 0.78	 7.46	 14.50	 257.63	 14.50	 347.27	
 20	 1.390	 2.54	 0.79	 7.46	 14.51	 257.79	 14.45	 349.14	
 30	 1.390	 2.50	 0.78	 7.48	 14.48	 258.10	 14.42	 350.72	
 40	 1.390	 2.44	 0.78	 7.49	 14.48	 258.18	 14.39	 353.23	
 50	 1.390	 2.37	 0.78	 7.49	 14.46	 258.12	 14.36	 355.10	
 60	 1.390	 2.28	 0.78	 7.49	 14.43	 258.09	 14.31	 356.69	
 70	 1.390	 2.17	 0.77	 7.50	 14.39	 258.05	 14.27	 359.12	
 80	 1.390	 2.05	 0.77	 7.51	 14.35	 257.60	 14.25	 1.21	
 90	 1.390	 1.91	 0.77	 7.52	 14.35	 257.29	 14.18	 3.37	
100	 1.390	 1.76	 0.77	 7.54	 14.35	 256.95	 14.14	 5.21	
110	 1.390	 1.60	 0.76	 7.55	 14.36	 256.87	 14.08	 6.88	
120	 1.390	 1.42	 0.76	 7.55	 14.37	 256.89	 14.00	 8.01	
130	 1.390	 1.24	 0.76	 7.57	 14.37	 256.75	 13.89	 8.56	
140	 1.390	 1.04	 0.76	 7.58	 14.34	 257.57	 13.76	 9.63	
150	 1.390	 0.84	 0.76	 7.59	 14.31	 258.43	 13.69	 11.29	
160	 1.390	 0.63	 0.76	 7.60	 14.27	 259.26	 13.61	 12.39	
170	 1.390	 0.41	 0.76	 7.62	 14.24	 259.78	 13.57	 14.61	
180	 1.390	 0.18	 0.76	 7.63	 14.23	 260.00	 13.56	 16.60	
