Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°95
Type of Scenario: real past forcing event (from the damage database of Idier et al. (2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]) 
High Tide date (UTC): 1924-01-09T05:30:00 
Data source: Hydro-Meteorological database (1900-2016) built by Idier et al.(2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]. 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.362	 0.42	 0.67	 8.12	 20.64	 256.34	 6.67	 278.80	
-170	 0.362	 0.59	 0.67	 8.14	 20.68	 256.46	 6.70	 280.58	
-160	 0.362	 0.76	 0.67	 8.16	 20.71	 256.58	 6.73	 282.36	
-150	 0.362	 0.92	 0.67	 8.18	 20.75	 256.70	 6.75	 284.14	
-140	 0.362	 1.07	 0.67	 8.20	 20.78	 256.82	 6.78	 285.92	
-130	 0.362	 1.22	 0.66	 8.22	 20.81	 256.94	 6.81	 287.70	
-120	 0.362	 1.35	 0.66	 8.25	 20.85	 257.06	 6.84	 289.47	
-110	 0.362	 1.47	 0.66	 8.27	 20.88	 257.18	 6.87	 291.25	
-100	 0.362	 1.59	 0.66	 8.29	 20.91	 257.30	 6.89	 293.03	
-90	 0.362	 1.69	 0.66	 8.31	 20.95	 257.42	 6.92	 294.81	
-80	 0.362	 1.78	 0.66	 8.33	 20.98	 257.54	 6.95	 296.59	
-70	 0.362	 1.86	 0.66	 8.35	 21.01	 257.66	 6.98	 298.37	
-60	 0.362	 1.93	 0.66	 8.37	 21.05	 257.78	 7.00	 300.15	
-50	 0.362	 1.99	 0.65	 8.39	 21.08	 257.90	 7.03	 301.93	
-40	 0.362	 2.04	 0.65	 8.41	 21.12	 258.02	 7.06	 303.71	
-30	 0.362	 2.08	 0.65	 8.43	 21.15	 258.14	 7.09	 305.49	
-20	 0.362	 2.11	 0.65	 8.45	 21.18	 258.26	 7.11	 307.27	
-10	 0.362	 2.12	 0.65	 8.47	 21.22	 258.38	 7.14	 309.05	
  0	 0.362	 2.13	 0.65	 8.49	 21.25	 258.49	 7.17	 310.83	
 10	 0.362	 2.12	 0.65	 8.51	 21.28	 258.61	 7.20	 312.61	
 20	 0.362	 2.11	 0.65	 8.53	 21.32	 258.73	 7.22	 314.39	
 30	 0.362	 2.08	 0.65	 8.55	 21.35	 258.85	 7.25	 316.17	
 40	 0.362	 2.04	 0.64	 8.52	 21.33	 258.89	 7.40	 316.26	
 50	 0.362	 1.98	 0.63	 8.49	 21.30	 258.93	 7.56	 316.36	
 60	 0.362	 1.92	 0.63	 8.46	 21.27	 258.97	 7.71	 316.45	
 70	 0.362	 1.84	 0.62	 8.43	 21.25	 259.01	 7.86	 316.55	
 80	 0.362	 1.75	 0.62	 8.40	 21.22	 259.05	 8.02	 316.64	
 90	 0.362	 1.65	 0.61	 8.37	 21.20	 259.09	 8.17	 316.74	
100	 0.362	 1.54	 0.60	 8.34	 21.17	 259.13	 8.32	 316.83	
110	 0.362	 1.41	 0.60	 8.31	 21.15	 259.17	 8.48	 316.93	
120	 0.362	 1.28	 0.59	 8.28	 21.12	 259.21	 8.63	 317.02	
130	 0.362	 1.13	 0.59	 8.24	 21.10	 259.25	 8.78	 317.11	
140	 0.362	 0.97	 0.58	 8.21	 21.07	 259.28	 8.94	 317.21	
150	 0.362	 0.81	 0.57	 8.18	 21.05	 259.32	 9.09	 317.30	
160	 0.362	 0.63	 0.57	 8.15	 21.02	 259.36	 9.24	 317.40	
170	 0.362	 0.45	 0.56	 8.12	 21.00	 259.40	 9.39	 317.49	
180	 0.362	 0.26	 0.56	 8.09	 20.97	 259.44	 9.55	 317.59	
