Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°136
Type of Scenario: variation around a real past forcing event (High Tide date (UTC): 1924-01-09T05:30:00; scenario n°95) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.700	 0.11	 0.14	 0.89	 12.01	 271.12	 6.25	 17.20	
-170	 0.700	 0.31	 0.14	 0.88	 12.01	 271.13	 6.22	 16.97	
-160	 0.700	 0.51	 0.14	 0.88	 12.00	 271.13	 6.19	 16.74	
-150	 0.700	 0.70	 0.14	 0.88	 11.99	 271.14	 6.17	 16.51	
-140	 0.700	 0.88	 0.14	 0.87	 11.99	 271.15	 6.14	 16.28	
-130	 0.700	 1.06	 0.14	 0.87	 11.98	 271.15	 6.11	 16.05	
-120	 0.700	 1.22	 0.14	 0.87	 11.98	 271.16	 6.08	 15.82	
-110	 0.700	 1.38	 0.13	 0.86	 11.97	 271.16	 6.05	 15.59	
-100	 0.700	 1.52	 0.13	 0.86	 11.96	 271.17	 6.03	 15.36	
-90	 0.700	 1.66	 0.13	 0.86	 11.96	 271.18	 6.00	 15.13	
-80	 0.700	 1.78	 0.13	 0.85	 11.94	 271.18	 5.97	 14.90	
-70	 0.700	 1.88	 0.13	 0.85	 11.93	 271.19	 5.94	 14.67	
-60	 0.700	 1.98	 0.13	 0.83	 11.93	 271.19	 5.92	 14.44	
-50	 0.700	 2.06	 0.13	 0.83	 11.92	 271.20	 5.88	 14.21	
-40	 0.700	 2.12	 0.13	 0.83	 11.91	 271.20	 5.86	 13.98	
-30	 0.700	 2.18	 0.13	 0.82	 11.91	 271.21	 5.83	 13.75	
-20	 0.700	 2.21	 0.13	 0.82	 11.90	 271.22	 5.80	 13.53	
-10	 0.700	 2.24	 0.13	 0.82	 11.89	 271.22	 5.78	 13.30	
  0	 0.700	 2.25	 0.13	 0.81	 11.89	 271.23	 5.74	 13.07	
 10	 0.700	 2.24	 0.13	 0.81	 11.87	 271.23	 5.72	 12.84	
 20	 0.700	 2.22	 0.13	 0.81	 11.86	 271.24	 5.68	 12.61	
 30	 0.700	 2.19	 0.13	 0.80	 11.86	 271.25	 5.66	 12.38	
 40	 0.700	 2.14	 0.13	 0.80	 11.85	 271.23	 5.64	 12.55	
 50	 0.700	 2.07	 0.12	 0.80	 11.83	 271.22	 5.61	 12.72	
 60	 0.700	 1.99	 0.12	 0.80	 11.82	 271.20	 5.59	 12.89	
 70	 0.700	 1.90	 0.12	 0.80	 11.80	 271.18	 5.56	 13.06	
 80	 0.700	 1.79	 0.12	 0.80	 11.79	 271.17	 5.53	 13.23	
 90	 0.700	 1.67	 0.12	 0.79	 11.78	 271.15	 5.51	 13.40	
100	 0.700	 1.54	 0.12	 0.79	 11.76	 271.14	 5.48	 13.57	
110	 0.700	 1.39	 0.12	 0.79	 11.74	 271.12	 5.46	 13.74	
120	 0.700	 1.23	 0.12	 0.79	 11.73	 271.11	 5.43	 13.91	
130	 0.700	 1.06	 0.12	 0.79	 11.72	 271.09	 5.40	 14.08	
140	 0.700	 0.88	 0.12	 0.79	 11.70	 271.08	 5.38	 14.25	
150	 0.700	 0.69	 0.12	 0.78	 11.69	 271.06	 5.36	 14.42	
160	 0.700	 0.50	 0.12	 0.78	 11.67	 271.05	 5.33	 14.59	
170	 0.700	 0.30	 0.12	 0.78	 11.66	 271.03	 5.30	 14.76	
180	 0.700	 0.09	 0.12	 0.78	 11.65	 271.02	 5.27	 14.93	
