Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°12
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 1.900	 0.00	 0.14	 1.87	 7.68	 267.01	 10.54	 191.67	
-170	 1.900	 0.22	 0.13	 1.87	 7.69	 267.78	 10.63	 192.49	
-160	 1.900	 0.43	 0.14	 1.87	 7.68	 268.48	 10.71	 193.58	
-150	 1.900	 0.64	 0.14	 1.87	 7.67	 269.00	 10.82	 194.11	
-140	 1.900	 0.83	 0.14	 1.87	 7.62	 269.20	 10.91	 193.87	
-130	 1.900	 1.02	 0.13	 1.87	 7.58	 268.79	 10.94	 193.56	
-120	 1.900	 1.19	 0.14	 1.87	 7.54	 268.40	 10.97	 193.74	
-110	 1.900	 1.36	 0.13	 1.87	 7.52	 268.28	 11.03	 193.58	
-100	 1.900	 1.50	 0.14	 1.86	 7.49	 268.40	 11.11	 193.20	
-90	 1.900	 1.65	 0.14	 1.86	 7.46	 268.28	 11.14	 192.77	
-80	 1.900	 1.77	 0.13	 1.85	 7.47	 268.57	 11.20	 193.00	
-70	 1.900	 1.87	 0.14	 1.85	 7.49	 268.92	 11.30	 193.45	
-60	 1.900	 1.97	 0.14	 1.84	 7.48	 269.16	 11.43	 193.56	
-50	 1.900	 2.05	 0.13	 1.83	 7.48	 269.09	 11.56	 193.77	
-40	 1.900	 2.11	 0.13	 1.83	 7.51	 268.88	 11.71	 193.94	
-30	 1.900	 2.16	 0.13	 1.82	 7.52	 269.07	 11.86	 193.56	
-20	 1.900	 2.20	 0.13	 1.82	 7.54	 269.52	 12.01	 193.00	
-10	 1.900	 2.22	 0.13	 1.81	 7.57	 269.97	 12.21	 191.89	
  0	 1.900	 2.23	 0.13	 1.80	 7.67	 271.00	 12.37	 190.81	
 10	 1.900	 2.22	 0.13	 1.80	 7.75	 272.34	 12.50	 188.86	
 20	 1.900	 2.20	 0.14	 1.78	 7.81	 273.95	 12.67	 187.00	
 30	 1.900	 2.18	 0.13	 1.79	 7.87	 275.29	 12.81	 185.51	
 40	 1.900	 2.13	 0.13	 1.78	 7.90	 276.50	 12.97	 183.94	
 50	 1.900	 2.07	 0.13	 1.78	 7.92	 277.65	 13.11	 182.15	
 60	 1.900	 2.01	 0.13	 1.78	 7.89	 278.47	 13.22	 179.80	
 70	 1.900	 1.93	 0.13	 1.79	 7.88	 278.82	 13.30	 177.72	
 80	 1.900	 1.84	 0.13	 1.79	 7.90	 279.16	 13.37	 175.26	
 90	 1.900	 1.73	 0.13	 1.78	 7.93	 279.11	 13.46	 173.55	
100	 1.900	 1.62	 0.13	 1.79	 7.99	 278.74	 13.49	 171.60	
110	 1.900	 1.50	 0.13	 1.79	 8.06	 278.45	 13.58	 169.81	
120	 1.900	 1.36	 0.12	 1.78	 8.11	 277.88	 13.60	 168.75	
130	 1.900	 1.21	 0.12	 1.78	 8.15	 277.16	 13.62	 167.71	
140	 1.900	 1.06	 0.12	 1.78	 8.15	 276.75	 13.58	 166.46	
150	 1.900	 0.90	 0.12	 1.79	 8.13	 276.09	 13.50	 164.13	
160	 1.900	 0.73	 0.12	 1.79	 8.12	 275.70	 13.41	 161.51	
170	 1.900	 0.56	 0.12	 1.79	 8.12	 275.15	 13.28	 159.56	
180	 1.900	 0.37	 0.12	 1.80	 8.13	 274.99	 13.18	 158.06	
