Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°104
Type of Scenario: real past forcing event (from the damage database of Idier et al. (2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]) 
High Tide date (UTC): 1999-10-24T15:10:00 
Data source: Hydro-Meteorological database (1900-2016) built by Idier et al.(2020) [https://link.springer.com/article/10.1007/s11069-020-03882-4]. 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.495	 0.26	 0.35	 3.71	 12.52	 258.73	 11.80	 225.26	
-170	 0.495	 0.46	 0.35	 3.70	 12.49	 258.70	 11.73	 225.24	
-160	 0.495	 0.65	 0.35	 3.70	 12.46	 258.67	 11.65	 225.23	
-150	 0.495	 0.84	 0.35	 3.69	 12.43	 258.64	 11.57	 225.21	
-140	 0.495	 1.02	 0.35	 3.68	 12.40	 258.61	 11.50	 225.19	
-130	 0.495	 1.19	 0.35	 3.68	 12.37	 258.59	 11.42	 225.18	
-120	 0.495	 1.35	 0.35	 3.67	 12.34	 258.56	 11.27	 224.34	
-110	 0.495	 1.50	 0.36	 3.67	 12.31	 258.53	 11.12	 223.51	
-100	 0.495	 1.64	 0.36	 3.66	 12.28	 258.50	 10.96	 222.68	
-90	 0.495	 1.77	 0.36	 3.66	 12.25	 258.47	 10.81	 221.84	
-80	 0.495	 1.88	 0.36	 3.65	 12.22	 258.45	 10.66	 221.01	
-70	 0.495	 1.98	 0.36	 3.65	 12.19	 258.42	 10.51	 220.18	
-60	 0.495	 2.07	 0.36	 3.64	 12.16	 258.39	 10.50	 219.24	
-50	 0.495	 2.14	 0.36	 3.63	 12.13	 258.36	 10.48	 218.31	
-40	 0.495	 2.20	 0.36	 3.63	 12.10	 258.33	 10.47	 217.37	
-30	 0.495	 2.24	 0.36	 3.62	 12.08	 258.31	 10.46	 216.44	
-20	 0.495	 2.27	 0.35	 3.62	 12.05	 258.28	 10.45	 215.51	
-10	 0.495	 2.28	 0.35	 3.61	 12.02	 258.25	 10.43	 214.57	
  0	 0.495	 2.28	 0.35	 3.61	 11.99	 258.22	 10.42	 213.74	
 10	 0.495	 2.26	 0.36	 3.60	 11.96	 258.19	 10.40	 212.91	
 20	 0.495	 2.23	 0.36	 3.60	 11.93	 258.16	 10.39	 212.08	
 30	 0.495	 2.19	 0.36	 3.59	 11.90	 258.14	 10.38	 211.25	
 40	 0.495	 2.13	 0.36	 3.59	 11.87	 258.11	 10.36	 210.42	
 50	 0.495	 2.06	 0.36	 3.58	 11.84	 258.08	 10.35	 209.59	
 60	 0.495	 1.97	 0.36	 3.57	 11.81	 258.05	 10.40	 208.96	
 70	 0.495	 1.87	 0.36	 3.57	 11.78	 258.02	 10.46	 208.34	
 80	 0.495	 1.76	 0.36	 3.56	 11.75	 258.00	 10.51	 207.72	
 90	 0.495	 1.63	 0.36	 3.56	 11.72	 257.97	 10.56	 207.09	
100	 0.495	 1.50	 0.36	 3.55	 11.69	 257.94	 10.61	 206.47	
110	 0.495	 1.35	 0.36	 3.55	 11.66	 257.91	 10.67	 205.84	
120	 0.495	 1.19	 0.36	 3.54	 11.63	 257.88	 10.34	 207.31	
130	 0.495	 1.03	 0.36	 3.54	 11.60	 257.85	 10.02	 208.77	
140	 0.495	 0.86	 0.36	 3.53	 11.57	 257.83	 9.69	 210.23	
150	 0.495	 0.68	 0.36	 3.52	 11.54	 257.80	 9.36	 211.69	
160	 0.495	 0.49	 0.36	 3.52	 11.51	 257.77	 9.04	 213.16	
170	 0.495	 0.30	 0.36	 3.51	 11.48	 257.74	 8.71	 214.62	
180	 0.495	 0.11	 0.36	 3.51	 11.47	 257.50	 8.78	 214.54	
