Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°151
Type of Scenario: variation around a statistical event (scenario n°12) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.850	 0.10	 0.84	 1.50	 6.14	 252.01	 8.43	 176.67	
-170	 0.850	 0.35	 0.84	 1.50	 6.15	 252.78	 8.50	 177.49	
-160	 0.850	 0.58	 0.84	 1.50	 6.14	 253.48	 8.57	 178.58	
-150	 0.850	 0.82	 0.84	 1.50	 6.14	 254.00	 8.66	 179.11	
-140	 0.850	 1.04	 0.83	 1.50	 6.10	 254.20	 8.73	 178.87	
-130	 0.850	 1.25	 0.83	 1.50	 6.06	 253.79	 8.75	 178.56	
-120	 0.850	 1.45	 0.84	 1.50	 6.03	 253.40	 8.78	 178.74	
-110	 0.850	 1.64	 0.84	 1.50	 6.02	 253.28	 8.82	 178.58	
-100	 0.850	 1.80	 0.84	 1.49	 5.99	 253.40	 8.89	 178.20	
-90	 0.850	 1.96	 0.84	 1.49	 5.97	 253.28	 8.91	 177.77	
-80	 0.850	 2.10	 0.84	 1.48	 5.98	 253.57	 8.96	 178.00	
-70	 0.850	 2.22	 0.83	 1.48	 5.99	 253.92	 9.04	 178.45	
-60	 0.850	 2.33	 0.83	 1.47	 5.98	 254.16	 9.14	 178.56	
-50	 0.850	 2.42	 0.83	 1.46	 5.98	 254.09	 9.25	 178.77	
-40	 0.850	 2.49	 0.83	 1.46	 6.01	 253.88	 9.37	 178.94	
-30	 0.850	 2.55	 0.83	 1.46	 6.02	 254.07	 9.49	 178.56	
-20	 0.850	 2.59	 0.83	 1.46	 6.03	 254.52	 9.61	 178.00	
-10	 0.850	 2.61	 0.83	 1.45	 6.06	 254.97	 9.77	 176.89	
  0	 0.850	 2.62	 0.83	 1.44	 6.14	 256.00	 9.90	 175.81	
 10	 0.850	 2.61	 0.83	 1.44	 6.20	 257.34	 10.00	 173.86	
 20	 0.850	 2.59	 0.83	 1.42	 6.25	 258.95	 10.14	 172.00	
 30	 0.850	 2.55	 0.83	 1.43	 6.30	 260.29	 10.25	 170.51	
 40	 0.850	 2.50	 0.83	 1.42	 6.32	 261.50	 10.38	 168.94	
 50	 0.850	 2.42	 0.82	 1.42	 6.34	 262.65	 10.49	 167.15	
 60	 0.850	 2.36	 0.82	 1.42	 6.31	 263.47	 10.58	 164.80	
 70	 0.850	 2.27	 0.82	 1.43	 6.30	 263.82	 10.64	 162.72	
 80	 0.850	 2.16	 0.82	 1.43	 6.32	 264.16	 10.70	 160.26	
 90	 0.850	 2.03	 0.81	 1.42	 6.34	 264.11	 10.77	 158.55	
100	 0.850	 1.91	 0.81	 1.43	 6.39	 263.74	 10.79	 156.60	
110	 0.850	 1.76	 0.80	 1.43	 6.45	 263.45	 10.86	 154.81	
120	 0.850	 1.61	 0.80	 1.42	 6.49	 262.88	 10.88	 153.75	
130	 0.850	 1.44	 0.80	 1.42	 6.52	 262.16	 10.90	 152.71	
140	 0.850	 1.26	 0.80	 1.42	 6.52	 261.75	 10.86	 151.46	
150	 0.850	 1.08	 0.80	 1.43	 6.50	 261.09	 10.80	 149.13	
160	 0.850	 0.89	 0.79	 1.43	 6.50	 260.70	 10.73	 146.51	
170	 0.850	 0.69	 0.79	 1.43	 6.50	 260.15	 10.62	 144.56	
180	 0.850	 0.47	 0.79	 1.44	 6.50	 259.99	 10.54	 143.06	
