Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°120
Type of Scenario: variation around a real past forcing event (High Tide date (UTC): 1978-02-26T05:30:00; scenario n°96) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.551	 0.09	 0.52	 5.64	 14.60	 240.66	 12.56	 213.78	
-170	 0.551	 0.28	 0.52	 5.67	 14.83	 240.74	 12.59	 213.56	
-160	 0.551	 0.46	 0.53	 5.69	 15.07	 240.82	 12.61	 213.33	
-150	 0.551	 0.64	 0.53	 5.72	 15.30	 240.89	 12.63	 213.11	
-140	 0.551	 0.81	 0.53	 5.75	 15.54	 240.97	 12.66	 212.89	
-130	 0.551	 0.98	 0.53	 5.77	 15.77	 241.05	 12.68	 212.66	
-120	 0.551	 1.14	 0.53	 5.80	 16.01	 241.12	 12.71	 212.44	
-110	 0.551	 1.28	 0.53	 5.82	 16.24	 241.20	 12.73	 212.21	
-100	 0.551	 1.42	 0.54	 5.85	 16.48	 241.28	 12.75	 211.99	
-90	 0.551	 1.54	 0.54	 5.87	 16.72	 241.35	 12.78	 211.76	
-80	 0.551	 1.66	 0.54	 5.90	 16.95	 241.43	 12.80	 211.54	
-70	 0.551	 1.76	 0.54	 5.93	 17.19	 241.51	 12.83	 211.31	
-60	 0.551	 1.84	 0.54	 5.95	 17.42	 241.58	 12.85	 211.09	
-50	 0.551	 1.91	 0.54	 5.98	 17.66	 241.66	 12.87	 210.87	
-40	 0.551	 1.97	 0.55	 6.00	 17.89	 241.74	 12.90	 210.64	
-30	 0.551	 2.01	 0.55	 6.03	 18.13	 241.81	 12.92	 210.42	
-20	 0.551	 2.04	 0.55	 6.06	 18.36	 241.89	 12.95	 210.19	
-10	 0.551	 2.06	 0.55	 6.08	 18.60	 241.97	 12.97	 209.97	
  0	 0.551	 2.06	 0.55	 6.11	 18.83	 242.04	 12.99	 209.74	
 10	 0.551	 2.05	 0.55	 6.13	 19.07	 242.12	 13.02	 209.52	
 20	 0.551	 2.02	 0.56	 6.16	 19.30	 242.19	 13.04	 209.30	
 30	 0.551	 1.98	 0.56	 6.18	 19.54	 242.27	 13.07	 209.07	
 40	 0.551	 1.93	 0.56	 6.22	 19.54	 242.22	 13.13	 210.02	
 50	 0.551	 1.87	 0.55	 6.25	 19.54	 242.17	 13.19	 210.97	
 60	 0.551	 1.79	 0.55	 6.29	 19.54	 242.12	 13.24	 211.92	
 70	 0.551	 1.71	 0.55	 6.32	 19.54	 242.07	 13.30	 212.87	
 80	 0.551	 1.61	 0.55	 6.35	 19.54	 242.02	 13.36	 213.82	
 90	 0.551	 1.51	 0.55	 6.39	 19.54	 241.97	 13.42	 214.77	
100	 0.551	 1.39	 0.55	 6.42	 19.54	 241.91	 13.48	 215.72	
110	 0.551	 1.27	 0.55	 6.46	 19.54	 241.86	 13.54	 216.67	
120	 0.551	 1.13	 0.55	 6.49	 19.54	 241.81	 13.60	 217.62	
130	 0.551	 0.99	 0.54	 6.52	 19.54	 241.76	 13.66	 218.57	
140	 0.551	 0.85	 0.54	 6.56	 19.54	 241.71	 13.72	 219.52	
150	 0.551	 0.69	 0.54	 6.59	 19.54	 241.66	 13.78	 220.47	
160	 0.551	 0.53	 0.54	 6.63	 19.54	 241.61	 13.84	 221.42	
170	 0.551	 0.37	 0.54	 6.66	 19.54	 241.56	 13.90	 222.37	
180	 0.551	 0.21	 0.54	 6.69	 19.54	 241.51	 13.95	 223.32	
