Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°129
Type of Scenario: variation around a real past forcing event (High Tide date (UTC): 2004-10-27T15:20:00; scenario n°99) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 0.708	 0.44	 0.34	 4.86	 9.02	 183.58	 17.80	 186.79	
-170	 0.708	 0.60	 0.34	 4.85	 9.04	 184.08	 18.02	 187.74	
-160	 0.708	 0.75	 0.35	 4.83	 9.05	 184.58	 18.24	 188.70	
-150	 0.708	 0.89	 0.35	 4.81	 9.07	 185.08	 18.46	 189.66	
-140	 0.708	 1.03	 0.35	 4.80	 9.08	 185.58	 18.68	 190.61	
-130	 0.708	 1.16	 0.35	 4.82	 9.08	 186.41	 18.83	 191.94	
-120	 0.708	 1.28	 0.35	 4.84	 9.08	 187.25	 18.98	 193.26	
-110	 0.708	 1.39	 0.35	 4.86	 9.08	 188.08	 19.13	 194.59	
-100	 0.708	 1.50	 0.35	 4.88	 9.08	 188.91	 19.28	 195.91	
-90	 0.708	 1.59	 0.35	 4.90	 9.08	 189.74	 19.43	 197.23	
-80	 0.708	 1.67	 0.35	 4.93	 9.08	 190.58	 19.58	 198.56	
-70	 0.708	 1.75	 0.35	 4.98	 9.10	 191.74	 19.44	 198.72	
-60	 0.708	 1.81	 0.35	 5.04	 9.11	 192.91	 19.30	 198.88	
-50	 0.708	 1.87	 0.35	 5.10	 9.13	 194.07	 19.15	 199.04	
-40	 0.708	 1.91	 0.35	 5.16	 9.14	 195.24	 19.01	 199.21	
-30	 0.708	 1.94	 0.35	 5.22	 9.16	 196.41	 18.87	 199.37	
-20	 0.708	 1.97	 0.35	 5.27	 9.17	 197.57	 18.73	 199.53	
-10	 0.708	 1.98	 0.35	 5.35	 9.20	 198.74	 18.65	 199.55	
  0	 0.708	 1.98	 0.35	 5.42	 9.23	 199.90	 18.57	 199.56	
 10	 0.708	 1.96	 0.35	 5.50	 9.26	 201.07	 18.49	 199.58	
 20	 0.708	 1.94	 0.35	 5.57	 9.29	 202.23	 18.41	 199.59	
 30	 0.708	 1.90	 0.35	 5.65	 9.31	 203.40	 18.33	 199.61	
 40	 0.708	 1.85	 0.35	 5.72	 9.34	 204.57	 18.25	 199.62	
 50	 0.708	 1.79	 0.35	 5.78	 9.88	 211.56	 18.17	 199.68	
 60	 0.708	 1.72	 0.35	 5.85	 10.42	 218.55	 18.09	 199.74	
 70	 0.708	 1.63	 0.35	 5.91	 10.95	 225.55	 18.00	 199.80	
 80	 0.708	 1.53	 0.35	 5.97	 11.49	 232.54	 17.92	 199.86	
 90	 0.708	 1.42	 0.35	 6.04	 12.03	 239.54	 17.84	 199.92	
100	 0.708	 1.30	 0.35	 6.10	 12.57	 246.53	 17.76	 199.98	
110	 0.708	 1.17	 0.35	 6.14	 12.72	 246.70	 17.96	 201.47	
120	 0.708	 1.03	 0.35	 6.19	 12.87	 246.86	 18.16	 202.95	
130	 0.708	 0.88	 0.35	 6.23	 13.03	 247.03	 18.36	 204.44	
140	 0.708	 0.72	 0.35	 6.27	 13.18	 247.20	 18.57	 205.92	
150	 0.708	 0.55	 0.35	 6.31	 13.34	 247.36	 18.77	 207.41	
160	 0.708	 0.37	 0.35	 6.35	 13.49	 247.53	 18.97	 208.90	
170	 0.708	 0.19	 0.35	 6.39	 13.53	 247.70	 18.80	 209.10	
180	 0.708	 0.01	 0.35	 6.42	 13.56	 247.86	 18.64	 209.30	
