Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°168
Type of Scenario: variation around a statistical event (scenario n°25) 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 1.480	 0.38	 0.68	 7.08	 11.27	 234.72	 18.54	 177.77	
-170	 1.480	 0.53	 0.68	 7.09	 11.28	 234.15	 18.55	 179.21	
-160	 1.480	 0.66	 0.68	 7.10	 11.30	 234.07	 18.58	 180.30	
-150	 1.480	 0.79	 0.68	 7.12	 11.28	 234.35	 18.58	 181.71	
-140	 1.480	 0.93	 0.68	 7.13	 11.26	 234.79	 18.61	 182.48	
-130	 1.480	 1.04	 0.68	 7.14	 11.29	 235.46	 18.66	 183.43	
-120	 1.480	 1.16	 0.68	 7.15	 11.27	 236.24	 18.65	 183.19	
-110	 1.480	 1.27	 0.68	 7.18	 11.20	 237.10	 18.64	 182.54	
-100	 1.480	 1.36	 0.68	 7.18	 11.16	 237.72	 18.60	 180.97	
-90	 1.480	 1.45	 0.68	 7.19	 11.15	 237.50	 18.56	 179.16	
-80	 1.480	 1.53	 0.68	 7.21	 11.11	 237.53	 18.54	 178.16	
-70	 1.480	 1.61	 0.67	 7.22	 11.04	 238.06	 18.47	 177.18	
-60	 1.480	 1.66	 0.67	 7.22	 10.96	 239.18	 18.41	 176.42	
-50	 1.480	 1.71	 0.67	 7.24	 10.87	 239.71	 18.38	 174.79	
-40	 1.480	 1.75	 0.67	 7.26	 10.79	 240.37	 18.43	 173.35	
-30	 1.480	 1.80	 0.67	 7.26	 10.67	 241.50	 18.48	 172.35	
-20	 1.480	 1.81	 0.67	 7.27	 10.57	 242.38	 18.48	 171.00	
-10	 1.480	 1.82	 0.67	 7.28	 10.44	 242.75	 18.53	 168.74	
  0	 1.480	 1.83	 0.67	 7.28	 10.32	 242.68	 18.56	 167.35	
 10	 1.480	 1.81	 0.67	 7.28	 10.20	 242.97	 18.60	 166.48	
 20	 1.480	 1.79	 0.68	 7.30	 10.12	 243.36	 18.59	 165.62	
 30	 1.480	 1.76	 0.67	 7.31	 10.02	 243.16	 18.64	 164.62	
 40	 1.480	 1.71	 0.67	 7.31	 9.94	 242.71	 18.70	 163.83	
 50	 1.480	 1.65	 0.67	 7.32	 9.91	 242.49	 18.76	 163.11	
 60	 1.480	 1.59	 0.67	 7.32	 9.91	 242.28	 18.83	 162.47	
 70	 1.480	 1.51	 0.67	 7.33	 9.92	 241.82	 18.83	 162.42	
 80	 1.480	 1.41	 0.66	 7.33	 9.94	 241.42	 18.84	 163.06	
 90	 1.480	 1.30	 0.67	 7.34	 9.98	 241.36	 18.90	 163.51	
100	 1.480	 1.18	 0.67	 7.34	 10.03	 241.78	 18.91	 164.58	
110	 1.480	 1.05	 0.67	 7.34	 10.10	 241.70	 18.92	 166.37	
120	 1.480	 0.92	 0.67	 7.34	 10.24	 241.47	 18.95	 168.03	
130	 1.480	 0.77	 0.67	 7.34	 10.40	 241.32	 18.97	 168.95	
140	 1.480	 0.62	 0.66	 7.34	 10.54	 240.97	 18.94	 169.68	
150	 1.480	 0.46	 0.66	 7.36	 10.68	 240.76	 18.88	 170.22	
160	 1.480	 0.29	 0.66	 7.34	 10.84	 240.31	 18.79	 170.86	
170	 1.480	 0.12	 0.66	 7.37	 10.94	 240.00	 18.72	 171.11	
180	 1.480	 -0.06	 0.66	 7.37	 11.00	 239.72	 18.62	 171.07	
