Input data (X), from "High Tide -3h" to "High Tide +3h", with t=0 at High Tide 
----------------- 
Description 
Each input scenario is a dataset of time series of the following 8 variables, over a 6h time span, centered on high tide. 
- NM: relative mean sea level (m), referenced to the French vertical datum (IGN69). Representative of the regional relative mean sea level (i.e. mean sea level accounting for the vertical ground motions). 
- T: tidal water level (m), referenced to the relative mean sea level. Location (WGS84): (-3.36°E, 47.68°N). 
- S: atmospheric storm surge (m). Location (WGS84): (-3.36°E, 47.68°N). 
- Hs: significant wave height (m). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Tp: wave peak period (s). Location (WGS84): (-3.4778°E, 47.5606°N). 
- Dp: wave peak direction (° in nautical convention). Location (WGS84): (-3.4778°E, 47.5606°N). 
- U: wind speed (m/s). Location (WGS84): (-3.438°E,47.615°N). 
- DU: wind direction (° in nautical convention). Location (WGS84): (-3.438°E,47.615°N). 
----------------- 
----------------- 
Scenario n°15
Type of Scenario: statistical event 
High Tide date: Not Concerned 
Data source: Not Concerned 
----------------- 
t (min)	NM (m/IGN69)	T (m/NM)	S (m)	Hs (m)	Tp (s)	Dp (° nautical)	U (m/s)	DU (° nautical) 
-180	 1.600	 -0.06	 0.24	 3.75	 11.65	 271.92	 8.41	 117.90	
-170	 1.600	 0.15	 0.24	 3.75	 11.59	 272.15	 8.36	 120.27	
-160	 1.600	 0.36	 0.24	 3.74	 11.55	 272.70	 8.32	 123.29	
-150	 1.600	 0.57	 0.24	 3.73	 11.56	 272.99	 8.27	 126.28	
-140	 1.600	 0.76	 0.23	 3.73	 11.56	 272.87	 8.22	 128.41	
-130	 1.600	 0.94	 0.23	 3.72	 11.51	 272.36	 8.19	 130.73	
-120	 1.600	 1.12	 0.23	 3.72	 11.45	 272.12	 8.19	 133.10	
-110	 1.600	 1.28	 0.23	 3.71	 11.38	 271.84	 8.22	 135.16	
-100	 1.600	 1.43	 0.22	 3.71	 11.28	 271.25	 8.22	 137.41	
-90	 1.600	 1.56	 0.22	 3.71	 11.20	 270.34	 8.20	 139.58	
-80	 1.600	 1.68	 0.22	 3.71	 11.12	 269.97	 8.17	 141.08	
-70	 1.600	 1.78	 0.22	 3.71	 11.07	 269.84	 8.17	 142.17	
-60	 1.600	 1.88	 0.22	 3.71	 11.05	 269.36	 8.22	 142.38	
-50	 1.600	 1.95	 0.22	 3.72	 10.98	 268.66	 8.28	 142.97	
-40	 1.600	 2.01	 0.21	 3.72	 10.90	 267.88	 8.30	 143.06	
-30	 1.600	 2.06	 0.21	 3.73	 10.78	 267.68	 8.32	 142.75	
-20	 1.600	 2.09	 0.22	 3.74	 10.66	 267.15	 8.32	 144.15	
-10	 1.600	 2.10	 0.22	 3.74	 10.54	 266.43	 8.34	 146.11	
  0	 1.600	 2.12	 0.21	 3.76	 10.41	 266.10	 8.29	 148.38	
 10	 1.600	 2.12	 0.21	 3.77	 10.31	 265.94	 8.21	 149.85	
 20	 1.600	 2.10	 0.21	 3.77	 10.24	 266.13	 8.14	 151.48	
 30	 1.600	 2.07	 0.21	 3.78	 10.17	 266.02	 8.14	 152.24	
 40	 1.600	 2.02	 0.21	 3.79	 10.11	 266.13	 8.15	 152.55	
 50	 1.600	 1.97	 0.20	 3.79	 10.03	 266.24	 8.11	 152.78	
 60	 1.600	 1.91	 0.20	 3.80	 9.94	 266.30	 8.02	 152.89	
 70	 1.600	 1.83	 0.20	 3.81	 9.90	 266.11	 8.00	 152.78	
 80	 1.600	 1.75	 0.20	 3.82	 9.81	 265.45	 8.00	 152.78	
 90	 1.600	 1.65	 0.20	 3.83	 9.75	 264.66	 8.01	 153.15	
100	 1.600	 1.55	 0.20	 3.84	 9.72	 264.05	 7.99	 153.21	
110	 1.600	 1.44	 0.20	 3.84	 9.71	 263.34	 7.95	 152.99	
120	 1.600	 1.31	 0.19	 3.85	 9.72	 262.72	 7.99	 152.99	
130	 1.600	 1.18	 0.19	 3.86	 9.70	 262.37	 8.04	 152.48	
140	 1.600	 1.04	 0.19	 3.86	 9.70	 262.43	 8.11	 151.81	
150	 1.600	 0.88	 0.19	 3.88	 9.65	 262.63	 8.19	 151.20	
160	 1.600	 0.72	 0.19	 3.88	 9.62	 262.72	 8.26	 150.76	
170	 1.600	 0.56	 0.19	 3.89	 9.54	 263.06	 8.30	 149.84	
180	 1.600	 0.39	 0.19	 3.90	 9.47	 263.43	 8.32	 148.56	
